iteration,request_id,candidate_id,composition,phase,predicted_density_g_cm3,target_density_g_cm3,conditioned_density_g_cm3,density_error,status,attempts,latency_s,latest_attempt_latency_s,total_energy_eV,formation_energy_eV,max_force_eV_A,strain_evaluations,output_dir,started_at,completed_at,valid_flag
1,REALCAM-I01-C01,QGAN-071,Nb0.39 Al0.39 Nd0.21,BCC,7.3,6.946,6.946915140817337,0.0009151408173373,completed,1,12298.61397803668,12298.613308392465,-37781.79751691236,-4722.724689614045,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I01-C01,2025-10-25T16:12:03.590105Z,2025-10-25T19:37:02.204079Z,1
1,REALCAM-I01-C02,QGAN-029,Mg0.37 W0.19 Mn0.08 Cr0.19 Y0.08 Co0.08,BCC,7.396,7.495,7.496163078556355,0.0011630785563552,completed,1,5787.840645055287,5787.839401959442,-37781.79751691236,-4722.724689614045,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I01-C02,2025-10-25T16:12:03.590452Z,2025-10-25T17:48:31.431098Z,1
1,REALCAM-I01-C03,QGAN-149,Y0.06 Hf0.06 Si0.06 Zn0.10 Sn0.19 Ti0.06 Mo0.06 Ga0.34 V0.06,BCC,7.638,7.435,7.433783658424516,0.0012163415754837,completed,1,2977.8274392355233,2977.8267847793177,-37781.79751691236,-4722.724689614045,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I01-C03,2025-10-25T16:12:03.591418Z,2025-10-25T17:01:41.418858Z,1
1,REALCAM-I01-C04,QGAN-028,Cr0.08 V0.08 B0.08 Zn0.38 Nd0.39,FCC,6.243,6.368,6.366140630660416,0.0018593693395843,completed,1,9069.186776160263,9069.186296526343,-37781.79751691236,-4722.724689614045,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I01-C04,2025-10-25T16:12:03.591844Z,2025-10-25T18:43:12.778621Z,1
2,REALCAM-I02-C01,QGAN-023,Mn0.10 Hf0.49 Y0.10 Ti0.30,other,7.059,7.231,7.233272571332609,0.0022725713326092,completed,1,3111.587697076611,3111.5874194027856,-13432.995543731085,-1679.1244429663857,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I02-C01,2025-10-25T19:37:09.726032Z,2025-10-25T20:29:01.313727Z,1
2,REALCAM-I02-C02,QGAN-078,Ta0.08 Ca0.23 Pd0.09 W0.08 Sn0.08 Ga0.08 Si0.38,BCC,6.491,6.382,6.384347763068484,0.0023477630684842,completed,1,799.6189833832905,799.6184947909787,-13432.995543731085,-1679.1244429663857,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I02-C02,2025-10-25T19:37:09.726540Z,2025-10-25T19:50:29.345522Z,1
2,REALCAM-I02-C03,QGAN-137,W0.26 V0.31 Co0.43,FCC,7.985,7.974,7.976886552458304,0.0028865524583032,completed,1,1612.6927447076887,1612.6921116225421,-13432.995543731085,-1679.1244429663857,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I02-C03,2025-10-25T19:37:09.727187Z,2025-10-25T20:04:02.419932Z,1
2,REALCAM-I02-C04,QGAN-013,Re0.43 Co0.12 Ti0.46,FCC,8.451,8.575,8.57826475473388,0.0032647547338804,completed,1,2315.419200234115,2315.4186083367094,-13432.995543731085,-1679.1244429663857,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I02-C04,2025-10-25T19:37:09.727504Z,2025-10-25T20:15:45.146704Z,1
3,REALCAM-I03-C01,QGAN-073,C0.07 Ni0.17 Li0.07 Mo0.07 B0.37 Ta0.17 Cu0.07,FCC,7.402,7.019,7.01552820408903,0.0034717959109702,completed,1,3038.096895175986,3038.0962238190696,-23699.669140359234,-2962.4586425449043,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I03-C01,2025-10-25T20:29:01.888904Z,2025-10-25T21:19:39.985792Z,1
3,REALCAM-I03-C02,QGAN-000,Y0.07 Nb0.07 Ta0.08 Ni0.10 Fe0.26 Ga0.07 Zr0.12 Ti0.15 Mg0.07,other,7.703,7.823,7.818836113778295,0.004163886221705,completed,1,2063.1510510016233,2063.149740656838,-23699.669140359234,-2962.4586425449043,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I03-C02,2025-10-25T20:29:01.889465Z,2025-10-25T21:03:25.040509Z,1
