iteration,request_id,candidate_id,composition,phase,status,latency_s,formation_energy_eV,density_g_cm3,max_force_eV_A,valid_flag,result_path
1,ELAST-I01-C01,ELAST-001,Ag0.37 Re0.36 Hf0.27,BCC,completed,515.8503376790322,-7309.812965875005,31.10785948936697,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I01-C01/results.json
1,ELAST-I01-C02,ELAST-002,Re0.43 Co0.12 Ti0.46,FCC,completed,445.0790658160113,-5831.637148962709,71.82533341533552,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I01-C02/results.json
1,ELAST-I01-C03,ELAST-003,Nd0.23 W0.28 Co0.11 Mg0.19 Re0.18,other,completed,462.9009821100626,-6059.994906372902,78.58594205327311,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I01-C03/results.json
1,ELAST-I01-C04,ELAST-004,Pd0.10 Re0.10 Sc0.19 Fe0.50 Ta0.11,FCC,completed,1023.1055706799962,-6525.674198579,48.455681208071596,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I01-C04/results.json
2,ELAST-I02-C01,ELAST-005,Co0.13 Hf0.29 Zn0.58,other,completed,515.9134590351023,-5039.173889400527,42.873005589446805,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I02-C01/results.json
2,ELAST-I02-C02,ELAST-006,Zr0.07 Zn0.24 Pd0.21 Nd0.07 Sc0.19 Cu0.07 Ni0.08 Ta0.07,FCC,completed,960.9418224180117,-5756.086727223627,31.71689249201333,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I02-C02/results.json
2,ELAST-I02-C03,ELAST-007,Hf0.28 Ga0.35 Ag0.36,BCC,completed,597.6784412527923,-4887.179803487946,12.104204456641588,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I02-C03/results.json
2,ELAST-I02-C04,ELAST-008,Ti0.07 Mo0.07 Hf0.37 C0.07 W0.07 Sc0.07 Nb0.07 Li0.07 Ta0.17,FCC,completed,486.65370191191323,-5459.119800799125,47.023766980601394,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I02-C04/results.json
3,ELAST-I03-C01,ELAST-009,Zr0.42 Ga0.28 Nd0.10 Cu0.20,other,completed,919.2252227780409,-5365.63796236399,26.479517252236754,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I03-C01/results.json
3,ELAST-I03-C02,ELAST-010,Co0.38 V0.20 Mo0.09 W0.08 Y0.09 Fe0.08 Ni0.08,BCC,completed,6179.079604166793,-5976.661520403562,4.949861045097668,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I03-C02/results.json
3,ELAST-I03-C03,ELAST-011,Mn0.10 Hf0.49 Y0.10 Ti0.30,other,completed,528.9353432408534,-5416.983394064499,41.83096577204953,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I03-C03/results.json
3,ELAST-I03-C04,ELAST-012,Y0.07 Nb0.07 Ta0.08 Ni0.10 Fe0.26 Ga0.07 Zr0.12 Ti0.15 Mg0.07,other,completed,513.1695374888368,-4856.197925289415,29.355103022304682,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I03-C04/results.json
4,ELAST-I04-C01,ELAST-013,Nd0.07 V0.35 Pd0.19 W0.26 B0.07 Li0.07,FCC,completed,871.169352910947,-4681.362151761987,36.551763309719554,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I04-C01/results.json
4,ELAST-I04-C02,ELAST-014,Pd0.07 Fe0.32 Nd0.07 B0.11 Ag0.36 Ca0.07,BCC,completed,9911.566763264127,-4357.560501209287,3.61816389364742,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I04-C02/results.json
4,ELAST-I04-C03,ELAST-015,Li0.11 Y0.47 Ni0.42,other,completed,604.2979481460061,-3680.8734154896324,9.08689071634349,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I04-C03/results.json
4,ELAST-I04-C04,ELAST-016,Mn0.23 Ni0.35 Pd0.07 Ag0.07 V0.07 Ti0.21,FCC,completed,1134.1675643099006,-4341.103316507273,12.75022293365269,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/ELAST-I04-C04/results.json
