candidate_id,composition,phase,predicted_density_g_cm3,target_density_g_cm3,valid
QGAN-000,Y0.07 Nb0.07 Ta0.08 Ni0.10 Fe0.26 Ga0.07 Zr0.12 Ti0.15 Mg0.07,other,7.703,7.823,1
QGAN-001,Ag0.29 Si0.12 Zn0.33 Hf0.07 Fe0.07 Sn0.07 V0.07,other,7.356,7.166,1
QGAN-002,C0.39 Mn0.39 Co0.13 Re0.09,FCC,7.355,7.112,1
QGAN-003,Al0.09 Sn0.08 Co0.34 Nb0.11 Mg0.14 Zr0.25,FCC,8.12,7.873,1
QGAN-004,Mo0.31 Mn0.28 Pd0.07 Nb0.07 Ga0.07 V0.07 C0.07 Al0.08,other,7.47,7.508,0
QGAN-005,Mg0.11 Nb0.40 Re0.09 Pd0.40,BCC,7.221,7.16,0
QGAN-006,Zr0.26 Mo0.23 V0.33 C0.18,FCC,7.637,8.007,1
QGAN-007,Co0.13 Hf0.29 Zn0.58,other,7.694,7.46,1
QGAN-008,Sn0.37 Zn0.08 Y0.10 Hf0.37 Cr0.08,other,6.651,6.508,1
QGAN-009,Y0.43 Ti0.14 Nb0.09 V0.33,other,6.171,6.152,1
QGAN-010,B0.20 Mn0.08 V0.08 Sc0.41 Fe0.21,BCC,5.862,6.123,1
QGAN-011,Pd0.22 Ti0.45 Nd0.17 Ni0.17,other,6.536,6.934,1
QGAN-012,Co0.08 Sn0.07 Y0.09 Hf0.07 Ti0.07 Mo0.25 Fe0.07 Ni0.29,FCC,8.772,8.716,1
QGAN-013,Re0.43 Co0.12 Ti0.46,FCC,8.451,8.575,1
QGAN-014,Hf0.28 Ga0.35 Ag0.36,BCC,8.366,8.369,1
QGAN-015,Zn0.22 Si0.07 C0.07 Ag0.08 Y0.15 Zr0.22 Ta0.07 W0.07 Al0.07,FCC,8.152,8.331,1
QGAN-016,Mo0.08 Nd0.07 Y0.07 C0.27 Al0.26 Ca0.07 Co0.12 Hf0.07,BCC,6.358,6.499,1
QGAN-017,Ta0.45 Pd0.45 Cr0.10,BCC,8.539,8.733,0
