candidate_id,composition,phase,predicted_density_g_cm3,target_density_g_cm3,valid,conditioned_density_g_cm3,density_error,property_compliant
QGAN-000,Y0.07 Nb0.07 Ta0.08 Ni0.10 Fe0.26 Ga0.07 Zr0.12 Ti0.15 Mg0.07,other,7.703,7.823,1,7.818836113778295,0.004163886221705049,1
QGAN-001,Ag0.29 Si0.12 Zn0.33 Hf0.07 Fe0.07 Sn0.07 V0.07,other,7.356,7.166,1,7.204698101922641,0.03869810192264023,1
QGAN-002,C0.39 Mn0.39 Co0.13 Re0.09,FCC,7.355,7.112,1,7.06831447163131,0.04368552836869011,1
QGAN-003,Al0.09 Sn0.08 Co0.34 Nb0.11 Mg0.14 Zr0.25,FCC,8.12,7.873,1,7.88039516511877,0.007395165118770031,1
QGAN-004,Mo0.31 Mn0.28 Pd0.07 Nb0.07 Ga0.07 V0.07 C0.07 Al0.08,other,7.47,7.508,0,7.463169030356184,0.044830969643816054,1
QGAN-005,Mg0.11 Nb0.40 Re0.09 Pd0.40,BCC,7.221,7.16,0,7.196454658820773,0.036454658820773034,1
QGAN-006,Zr0.26 Mo0.23 V0.33 C0.18,FCC,7.637,8.007,1,8.02247333382338,0.015473333823379676,1
QGAN-007,Co0.13 Hf0.29 Zn0.58,other,7.694,7.46,1,7.441906093067486,0.018093906932514336,1
QGAN-008,Sn0.37 Zn0.08 Y0.10 Hf0.37 Cr0.08,other,6.651,6.508,1,6.565617677502875,0.05761767750287472,1
QGAN-009,Y0.43 Ti0.14 Nb0.09 V0.33,other,6.171,6.152,1,6.117232566999564,0.03476743300043594,1
QGAN-010,B0.20 Mn0.08 V0.08 Sc0.41 Fe0.21,BCC,5.862,6.123,1,6.204645456361398,0.08164545636139753,1
QGAN-011,Pd0.22 Ti0.45 Nd0.17 Ni0.17,other,6.536,6.934,1,7.065965646492541,0.1319656464925405,1
QGAN-012,Co0.08 Sn0.07 Y0.09 Hf0.07 Ti0.07 Mo0.25 Fe0.07 Ni0.29,FCC,8.772,8.716,1,8.684089686577993,0.03191031342200645,1
QGAN-013,Re0.43 Co0.12 Ti0.46,FCC,8.451,8.575,1,8.57826475473388,0.0032647547338804372,1
QGAN-014,Hf0.28 Ga0.35 Ag0.36,BCC,8.366,8.369,1,8.376232840584038,0.007232840584038058,1
QGAN-015,Zn0.22 Si0.07 C0.07 Ag0.08 Y0.15 Zr0.22 Ta0.07 W0.07 Al0.07,FCC,8.152,8.331,1,8.30345657175598,0.027543428244019452,1
QGAN-016,Mo0.08 Nd0.07 Y0.07 C0.27 Al0.26 Ca0.07 Co0.12 Hf0.07,BCC,6.358,6.499,1,6.519873893832163,0.02087389383216376,1
QGAN-017,Ta0.45 Pd0.45 Cr0.10,BCC,8.539,8.733,0,8.797563613248021,0.06456361324802096,1
QGAN-018,C0.13 Cu0.08 Nd0.15 Mn0.26 Cr0.09 B0.14 Li0.15,BCC,6.986,7.134,1,7.147854008791071,0.013854008791070349,1
QGAN-019,Mo0.35 Ga0.11 W0.53,FCC,7.64,7.77,1,7.8150432278210635,0.04504322782106396,1
QGAN-020,B0.15 Hf0.08 Cr0.13 Li0.11 Mg0.15 Fe0.09 Ta0.21 Zn0.08,other,8.289,8.09,1,8.111543139483228,0.021543139483227947,1
QGAN-021,Mg0.09 C0.37 Cu0.37 Sn0.08 B0.08,BCC,7.064,7.111,0,7.101732763931993,0.00926723606800639,1
QGAN-022,Cu0.07 Nb0.07 Nd0.07 C0.07 Ca0.28 Ag0.11 Re0.14 Fe0.19,BCC,7.511,7.495,1,7.5604647356791235,0.06546473567912336,1
QGAN-023,Mn0.10 Hf0.49 Y0.10 Ti0.30,other,7.059,7.231,1,7.233272571332609,0.0022725713326092745,1
QGAN-024,Cr0.08 Ni0.29 Nb0.10 Fe0.26 Ag0.08 Sc0.20,BCC,7.568,7.598,1,7.621841957652189,0.02384195765218955,1
QGAN-025,Nb0.44 Mn0.09 Y0.09 Ni0.38,other,8.083,8.165,0,8.22300394735415,0.05800394735415004,1
QGAN-026,Re0.16 Mo0.24 Ni0.08 Nb0.08 Y0.25 Ag0.18,other,7.182,6.998,1,6.962236829589584,0.035763170410416656,1
QGAN-027,Fe0.21 Pd0.21 B0.17 Mn0.20 Li0.13 Nd0.08,BCC,7.255,7.037,1,7.056184744243771,0.0191847442437707,1
QGAN-028,Cr0.08 V0.08 B0.08 Zn0.38 Nd0.39,FCC,6.243,6.368,1,6.366140630660416,0.0018593693395843047,1
QGAN-029,Mg0.37 W0.19 Mn0.08 Cr0.19 Y0.08 Co0.08,BCC,7.396,7.495,1,7.496163078556355,0.0011630785563552237,1
QGAN-030,Pd0.25 Al0.12 C0.08 Li0.17 Mn0.10 Ca0.10 Ga0.09 Co0.09,other,8.236,8.296,1,8.26921139091584,0.02678860908415892,1
QGAN-031,Ti0.07 Mo0.07 Hf0.37 C0.07 W0.07 Sc0.07 Nb0.07 Li0.07 Ta0.17,FCC,7.121,7.264,1,7.24600692252626,0.017993077473740016,1
