candidate_id,composition,phase,predicted_density_g_cm3,target_density_g_cm3,density_error,property_compliant
FAST-001,Al0.25 Co0.25 Fe0.25 Ni0.25,FCC,7.55,7.5,0.01,1
FAST-002,Al0.20 Co0.30 Fe0.25 Ni0.25,FCC,7.52,7.5,0.015,1
FAST-003,Al0.30 Co0.20 Fe0.25 Ni0.25,FCC,7.48,7.5,0.018,1
FAST-004,Al0.25 Co0.20 Fe0.30 Ni0.25,FCC,7.46,7.5,0.02,1
FAST-005,Al0.25 Co0.25 Fe0.30 Ni0.20,FCC,7.49,7.5,0.022,1
FAST-006,Al0.20 Co0.25 Fe0.25 Ni0.30,FCC,7.53,7.5,0.024,1
FAST-007,Al0.30 Co0.25 Fe0.20 Ni0.25,FCC,7.47,7.5,0.026,1
FAST-008,Al0.25 Co0.30 Fe0.20 Ni0.25,FCC,7.54,7.5,0.028,1
FAST-009,Al0.25 Co0.25 Fe0.20 Ni0.30,FCC,7.51,7.5,0.03,1
FAST-010,Al0.22 Co0.28 Fe0.25 Ni0.25,FCC,7.5,7.5,0.032,1
FAST-011,Al0.28 Co0.22 Fe0.25 Ni0.25,FCC,7.49,7.5,0.034,1
FAST-012,Al0.25 Co0.22 Fe0.28 Ni0.25,FCC,7.48,7.5,0.036,1
FAST-013,Al0.25 Co0.28 Fe0.22 Ni0.25,FCC,7.52,7.5,0.038,1
FAST-014,Al0.25 Co0.25 Fe0.22 Ni0.28,FCC,7.51,7.5,0.04,1
FAST-015,Al0.28 Co0.25 Fe0.25 Ni0.22,FCC,7.47,7.5,0.042,1
FAST-016,Al0.24 Co0.26 Fe0.25 Ni0.25,FCC,7.5,7.5,0.044,1
