reaction_id,chemical_composition,surface_composition,facet,sites,reaction_energy_eV,publication_id,publication_title,publication_doi
UmVhY3Rpb246MzQ4NTA4,Sc3V9,V3Sc,111,"{""N"": ""hollow|A_A_A|HCP""}",-2.810391181412342,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUwNDU2,Hg6Ta6,HgTa,101,"{""O"": ""bridge|B_B|A""}",-2.099597453263584,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUwNTU2,Cu6Fe6,CuFe,101,"{""SH"": ""top|B""}",-0.9541252697516711,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUwNjcy,Ag6Cu6,AgCu,101,"{""O"": ""bridge|B_B|A""}",0.8444161809418915,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUwNzYx,Pt9Ti3,Pt3Ti,111,"{""H"": ""bridge|A_A|B""}",-0.2928098648580715,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUxODAw,Ag6Pd6,AgPd,101,"{""C"": ""hollow|A_A_B|FCC""}",4.541566089287699,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUyMTQ0,W6Zr6,WZr,101,"{""S"": ""hollow|A_B_B|HCP""}",-2.923045630392096,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUyMjI1,Ag6V6,AgV,101,"{""H"": ""hollow|A_B_B|FCC""}",-0.6302911619559097,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUyMjQ5,Y6Zr6,YZr,101,"{""N"": ""hollow|A_B_B|FCC""}",-2.6855845366135327,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUyMjU0,Y6Zr6,YZr,101,"{""O"": ""hollow|A_B_B|HCP""}",-3.353975037360385,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUyMjU3,Y6Zr6,YZr,101,"{""S"": ""hollow|A_B_B|FCC""}",-3.3762187109932142,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246MzUyMjYx,Ga6Re6,GaRe,101,"{""C"": ""hollow|A_B_B|FCC""}",2.390554086891825,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
