iteration,request_id,candidate_id,composition,phase,status,latency_s,formation_energy_eV,density_g_cm3,max_force_eV_A,valid_flag,result_path
1,VCRLX-I01-C01,VCRLX-001,Ag0.37 Re0.36 Hf0.27,BCC,completed,1506.1441430370323,-8820.155537991393,20.319170151995973,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I01-C01/results.json
1,VCRLX-I01-C02,VCRLX-002,Pd0.10 Re0.10 Sc0.19 Fe0.50 Ta0.11,FCC,completed,1398.5004025369417,-6278.10345603239,25.246813290513423,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I01-C02/results.json
1,VCRLX-I01-C03,VCRLX-003,W0.26 V0.31 Co0.43,FCC,completed,2709.967659807997,-4394.40676891253,19.116811228029874,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I01-C03/results.json
1,VCRLX-I01-C04,VCRLX-004,Cr0.08 V0.07 Ga0.19 Hf0.07 Zr0.11 W0.07 Ta0.08 Pd0.26 Li0.07,other,failed,7202.761729249032,,,,0,
2,VCRLX-I02-C01,VCRLX-005,Re0.43 Co0.12 Ti0.46,FCC,completed,1490.9891496850178,-8031.298188873609,38.99760802951906,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I02-C01/results.json
2,VCRLX-I02-C02,VCRLX-006,Nd0.23 W0.28 Co0.11 Mg0.19 Re0.18,other,completed,2411.2732302900404,-7940.283221623505,41.591009293945056,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I02-C02/results.json
2,VCRLX-I02-C03,VCRLX-007,Nd0.07 V0.35 Pd0.19 W0.26 B0.07 Li0.07,FCC,completed,1298.9644476699177,-4798.5443466185325,24.30636993827852,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I02-C03/results.json
2,VCRLX-I02-C04,VCRLX-008,Zr0.07 Zn0.24 Pd0.21 Nd0.07 Sc0.19 Cu0.07 Ni0.08 Ta0.07,FCC,completed,1614.665399497142,-5783.118143159721,18.442896211448392,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I02-C04/results.json
3,VCRLX-I03-C01,VCRLX-009,Mn0.10 Hf0.49 Y0.10 Ti0.30,other,completed,2040.727761741029,-4935.052991398419,22.328714922629274,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I03-C01/results.json
3,VCRLX-I03-C02,VCRLX-010,Hf0.28 Ga0.35 Ag0.36,BCC,completed,701.799772339873,-5599.191058442894,11.673853395719078,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/VCRLX-I03-C02/results.json
