iteration,request_id,candidate_id,composition,phase,status,latency_s,formation_energy_eV,density_g_cm3,max_force_eV_A,valid_flag,result_path
1,SCF-I01-C01,QGAN-071,Nb0.39 Al0.39 Nd0.21,BCC,completed,0.0,-3389.077978010323,5.784141516117055,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I01-C01/results.json
1,SCF-I01-C02,QGAN-029,Mg0.37 W0.19 Mn0.08 Cr0.19 Y0.08 Co0.08,BCC,completed,0.0,-4465.949116889439,5.929019991330706,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I01-C02/results.json
1,SCF-I01-C03,QGAN-149,Y0.06 Hf0.06 Si0.06 Zn0.10 Sn0.19 Ti0.06 Mo0.06 Ga0.34 V0.06,BCC,completed,0.0,-4130.574274673184,7.0284697281696715,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I01-C03/results.json
1,SCF-I01-C04,QGAN-028,Cr0.08 V0.08 B0.08 Zn0.38 Nd0.39,FCC,completed,18889.28181787394,-4874.901783256796,10.746060732981304,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I01-C04/results.json
2,SCF-I02-C01,QGAN-023,Mn0.10 Hf0.49 Y0.10 Ti0.30,other,completed,0.0,-5623.330838542928,13.883945745331287,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I02-C01/results.json
2,SCF-I02-C02,QGAN-078,Ta0.08 Ca0.23 Pd0.09 W0.08 Sn0.08 Ga0.08 Si0.38,BCC,completed,0.0,-4826.154886042578,6.514003672149683,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I02-C02/results.json
2,SCF-I02-C03,QGAN-137,W0.26 V0.31 Co0.43,FCC,completed,0.0,-6528.517202569957,15.091702840772468,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I02-C03/results.json
2,SCF-I02-C04,QGAN-013,Re0.43 Co0.12 Ti0.46,FCC,completed,0.0,-6277.062074824206,15.777856772149354,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I02-C04/results.json
3,SCF-I03-C01,QGAN-073,C0.07 Ni0.17 Li0.07 Mo0.07 B0.37 Ta0.17 Cu0.07,FCC,completed,0.0,-4725.966783601054,10.27658028194065,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I03-C01/results.json
3,SCF-I03-C02,QGAN-000,Y0.07 Nb0.07 Ta0.08 Ni0.10 Fe0.26 Ga0.07 Zr0.12 Ti0.15 Mg0.07,other,completed,0.0,-4881.7118214300435,12.031907049793894,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I03-C02/results.json
3,SCF-I03-C03,QGAN-054,Mn0.41 Mg0.09 Ag0.41 Cu0.09,FCC,completed,0.0,-4449.409713909459,6.505995543722792,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I03-C03/results.json
3,SCF-I03-C04,QGAN-106,Ca0.08 Sc0.35 Mn0.21 Ga0.36,BCC,completed,0.0,-3372.8319660793068,3.841090579556189,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I03-C04/results.json
4,SCF-I04-C01,QGAN-090,Mn0.13 Sn0.08 Ca0.14 C0.14 Y0.10 Nd0.14 Pd0.18 Co0.09,BCC,completed,8564.099936575862,-4218.31069311743,5.057092454646321,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I04-C01/results.json
4,SCF-I04-C02,QGAN-146,B0.27 Ni0.12 W0.45 Mo0.15,BCC,completed,0.0,-2735.1242170489822,3.2467069913015214,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I04-C02/results.json
4,SCF-I04-C03,QGAN-014,Hf0.28 Ga0.35 Ag0.36,BCC,completed,0.0,-5599.173915730251,9.882482355591932,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I04-C03/results.json
4,SCF-I04-C04,QGAN-003,Al0.09 Sn0.08 Co0.34 Nb0.11 Mg0.14 Zr0.25,FCC,completed,0.0,-3887.499746158926,9.814533669182708,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I04-C04/results.json
5,SCF-I05-C01,QGAN-092,Ag0.37 Re0.36 Hf0.27,BCC,completed,0.0,-9156.534044907152,11.684589581332242,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I05-C01/results.json
5,SCF-I05-C02,QGAN-021,Mg0.09 C0.37 Cu0.37 Sn0.08 B0.08,BCC,completed,0.0,-2563.402604581902,2.9612229587553673,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I05-C02/results.json
5,SCF-I05-C03,QGAN-082,Al0.08 C0.10 Nb0.10 Mo0.10 Co0.38 Mg0.24,BCC,completed,0.0,-3047.1311140988682,4.1923461752759374,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I05-C03/results.json
5,SCF-I05-C04,QGAN-065,Y0.19 Cr0.31 V0.50,BCC,completed,0.0,-3143.3103719477426,3.904858975005536,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I05-C04/results.json
6,SCF-I06-C01,QGAN-134,Cr0.08 V0.07 Ga0.19 Hf0.07 Zr0.11 W0.07 Ta0.08 Pd0.26 Li0.07,other,completed,0.0,-6365.18626761461,13.96395190573056,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I06-C01/results.json
6,SCF-I06-C02,QGAN-041,Li0.40 Sn0.09 Mn0.12 Re0.40,FCC,completed,0.0,-3539.583678709873,8.4437087088951,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I06-C02/results.json
6,SCF-I06-C03,QGAN-101,Mn0.23 Ni0.35 Pd0.07 Ag0.07 V0.07 Ti0.21,FCC,completed,0.0,-4585.628420901052,8.484423396742624,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I06-C03/results.json
6,SCF-I06-C04,QGAN-049,Zr0.42 Ga0.28 Nd0.10 Cu0.20,other,completed,0.0,-5031.242255451382,11.844580105790174,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I06-C04/results.json
7,SCF-I07-C01,QGAN-117,Cu0.07 Zr0.07 Zn0.07 C0.12 Sn0.07 Co0.25 Ca0.35,FCC,completed,0.0,-3871.6327017457356,9.242467821915186,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I07-C01/results.json
7,SCF-I07-C02,QGAN-066,Ga0.08 Al0.19 Ni0.08 Re0.40 C0.11 Ag0.08 V0.08,BCC,completed,0.0,-4225.224809306649,6.094896077479494,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I07-C02/results.json
7,SCF-I07-C03,QGAN-018,C0.13 Cu0.08 Nd0.15 Mn0.26 Cr0.09 B0.14 Li0.15,BCC,completed,30640.352745437995,-2751.3637741676316,3.2593978493163465,0.0,1,/home/om/Projects/Generative_QML/data/dft_workflow/SCF-I07-C03/results.json
